"","Country","Year","sum(Count)"
"1","Angola",2004,13679
"2","Argentina",2004,922484
"3","Australia",2004,18454
"4","Austria",2004,21034
"5","Belgium",2004,28549
"6","Bolivia",2004,60239
"7","Canada",2004,66895
"8","Cape Verde",2004,0
"9","Chile",2004,155026
"10","China",2004,16305
"11","Colombia",2004,42163
"12","Costa Rica",2004,6741
"13","Denmark",2004,15555
"14","Ecuador",2004,13343
"15","Finland",2004,0
"16","France",2004,224160
"17","French Guiana",2004,14244
"18","Germany",2004,294989
"19","Greece",2004,10703
"20","Guiana",2004,3221
"21","Hungary",2004,0
"22","Iraque",2004,95
"23","Ireland",2004,0
"24","Israel",2004,26095
"25","Italy",2004,276563
"26","Japan",2004,60806
"27","Mexico",2004,65707
"28","Netherlands",2004,102480
"29","New Zealand",2004,4518
"30","Nigeria",2004,1611
"31","Norway",2004,23560
"32","Not informed",2004,3655
"33","Other countries",2004,145967
"34","Panama",2004,9586
"35","Paraguay",2004,204762
"36","Peru",2004,56647
"37","Poland",2004,0
"38","Portugal",2004,336988
"39","Puerto Rico",2004,2751
"40","Republic of Korea",2004,21353
"41","Saudi Arabia",2004,800
"42","South Africa",2004,32415
"43","Spain",2004,155421
"44","Suriname",2004,2899
"45","Sweden",2004,37809
"46","Switzerland",2004,83113
"47","United Kingdom",2004,150336
"48","United States",2004,705993
"49","Uruguay",2004,309732
"50","Venezuela",2004,44257
